ID;Host Since;Host Response Rate;Neighbourhood Cleansed;Neighbourhood Group Cleansed;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Security Deposit;Cleaning Fee;Number of Reviews;Review Scores Rating;Calculated host listings count
5363575;3/10/14;80;Justicia;Centro;Madrid;28014;Spain;40.420.523.158.259.600;-36.979.608.958.843.600;Apartment;Entire home/apt;6;2.0;2;5;Real Bed;80;120;40;0;;2
15882449;30/1/15;100;Justicia;Centro;Madrid;28004;Spain;40.426.596.711.377.100;-36.995.023.716.721.700;Apartment;Shared room;2;1.0;1;1;Real Bed;70;200;35;0;;4
16569517;27/12/16;100;Justicia;Centro;Madrid;28004;Spain;4.042.141.718.279.350;-3.700.339.331.069.540;Apartment;Entire home/apt;8;1.0;4;5;Real Bed;110;150;30;6;83;2
9589526;20/11/15;100;Justicia;Centro;Madrid;28004;Spain;40.426.437.800.551.200;-37.002.242.975.861.500;Apartment;Private room;2;2.0;1;1;Real Bed;33;100;15;19;96;5
183435;27/7/11;86;Justicia;Centro;Madrid;28004;Spain;4.042.396.268.955.270;-36.954.519.515.651.500;Apartment;Entire home/apt;6;;3;;Real Bed;100;;15;0;;4
259136;13/5/11;100;Justicia;Centro;Madrid;28004;Spain;4.042.024.037.698.270;-3.697.467.517.581.770;Apartment;Entire home/apt;2;1.0;1;1;Real Bed;65;150;30;69;91;11
13841551;28/12/12;100;Justicia;Centro;Madrid;28004;Spain;4.042.777.223.248.320;-36.982.418.370.596.500;House;Private room;2;2.5;1;1;Real Bed;21;;;6;100;1
8399457;21/10/12;100;Justicia;Centro;Madrid;28004;Spain;404.228.409.928.173;-36.985.643.627.604.400;Apartment;Entire home/apt;4;1.0;1;2;Real Bed;95;;35;30;98;1
18099923;7/4/17;;Justicia;Centro;Madrid;28004;Spain;4.042.198.492.199.130;-36.968.863.483.643.900;Hostel;Private room;1;7.0;7;7;Real Bed;65;;;0;;3
17571685;5/3/17;100;Justicia;Centro;Madrid;28004;Spain;4.042.227.804.613.720;-3.696.947.380.688.900;Apartment;Entire home/apt;4;1.0;1;2;Real Bed;80;;30;5;100;1
